Accident year,Region,Ons code,Urban rural,Road class,Light condition,Weather condition,All accidents
2015,North West,E12000002,Rural,Motorway,Darkness - lighting unknown,Fine no high winds,2
2015,North West,E12000002,Rural,Motorway,Darkness - lighting unknown,Raining no high winds,1
2015,North West,E12000002,Rural,Motorway,Darkness - lighting unknown,Raining + high winds,1
2015,North West,E12000002,Rural,A(M),Daylight,Fine no high winds,1
2015,North West,E12000002,Rural,A(M),Darkness - lights lit,Fine no high winds,1
2015,North West,E12000002,Rural,A(M),Darkness - no lighting,Fine no high winds,1
2015,North West,E12000002,Rural,A,Daylight,Unknown,16
2015,North West,E12000002,Rural,A,Daylight,Fine no high winds,1117
2015,North West,E12000002,Rural,A,Daylight,Raining no high winds,147
2015,North West,E12000002,Rural,A,Daylight,Snowing no high winds,17
2015,North West,E12000002,Rural,A,Daylight,Fine + high winds,16
2015,North West,E12000002,Rural,A,Daylight,Raining + high winds,22
2015,North West,E12000002,Rural,A,Daylight,Snowing + high winds,5
2015,North West,E12000002,Rural,A,Daylight,Fog or mist,5
2015,North West,E12000002,Rural,A,Daylight,Other,20
2015,North West,E12000002,Rural,A,Darkness - lights lit,Unknown,2
2015,North West,E12000002,Rural,A,Darkness - lights lit,Fine no high winds,167
2015,North West,E12000002,Rural,A,Darkness - lights lit,Raining no high winds,43
2015,North West,E12000002,Rural,A,Darkness - lights lit,Snowing no high winds,4
2015,North West,E12000002,Rural,A,Darkness - lights lit,Fine + high winds,7
2015,North West,E12000002,Rural,A,Darkness - lights lit,Raining + high winds,7
2015,North West,E12000002,Rural,A,Darkness - lights lit,Snowing + high winds,2
2015,North West,E12000002,Rural,A,Darkness - lights lit,Fog or mist,1
2015,North West,E12000002,Rural,A,Darkness - lights lit,Other,4
2015,North West,E12000002,Rural,A,Darkness - lights unlit,Fine no high winds,6
2015,North West,E12000002,Rural,A,Darkness - lights unlit,Raining no high winds,2
2015,North West,E12000002,Rural,A,Darkness - lights unlit,Raining + high winds,1
2015,North West,E12000002,Rural,A,Darkness - no lighting,Unknown,5
2015,North West,E12000002,Rural,A,Darkness - no lighting,Fine no high winds,108
2015,North West,E12000002,Rural,A,Darkness - no lighting,Raining no high winds,24
2015,North West,E12000002,Rural,A,Darkness - no lighting,Snowing no high winds,4
2015,North West,E12000002,Rural,A,Darkness - no lighting,Fine + high winds,6
2015,North West,E12000002,Rural,A,Darkness - no lighting,Raining + high winds,11
2015,North West,E12000002,Rural,A,Darkness - no lighting,Snowing + high winds,1
2015,North West,E12000002,Rural,A,Darkness - no lighting,Fog or mist,4
2015,North West,E12000002,Rural,A,Darkness - no lighting,Other,3
2015,North West,E12000002,Rural,A,Darkness - lighting unknown,Unknown,3
2015,North West,E12000002,Rural,A,Darkness - lighting unknown,Fine no high winds,5
2015,North West,E12000002,Rural,A,Darkness - lighting unknown,Raining no high winds,2
